 [2023-03-21 11:36:26,230] Pre-Condition- Step 01: Open browser and navigate to website
 [2023-03-21 11:36:31,405] Pre-Condition - Step 02: Click to Register link
 [2023-03-21 11:36:32,753] Pre-Condition - Step 03: Enter to Firstname textbox
 [2023-03-21 11:36:32,959] Pre-Condition - Step 04: Enter to Lastname textbox
 [2023-03-21 11:36:33,110] Pre-Condition - Step 05: Enter to Email textbox
 [2023-03-21 11:36:33,270] Pre-Condition - Step 06: Enter to Password textbox
 [2023-03-21 11:36:33,392] Pre-Condition - Step 07: Enter to Confirm Password textbox
 [2023-03-21 11:36:33,512] Pre-Condition - Step 08: Click to Register link
 [2023-03-21 11:36:34,535] Pre-Condition- Step 09: Navigate to Login page
 [2023-03-21 11:36:35,171] Pre-Condition - Step 10: Enter to  Email textbox 
 [2023-03-21 11:36:35,401] Pre-Condition - Step 11: Enter to  Password textbox 
 [2023-03-21 11:36:35,615] Pre-Condition - Step 12: Click to login button 
 [2023-03-21 11:36:36,557] My_Account_01- Step 01: Click to My Account link
 [2023-03-21 11:36:37,134] My_Account_01- Step 01: Check to Female radio
 [2023-03-21 11:36:37,463] My_Account_01- Step 02: Enter to Firstname textbox
 [2023-03-21 11:36:37,616] My_Account_01- Step 03: Check to Lastname textbox
 [2023-03-21 11:36:37,797] My_Account_01- Step 04: Select day from dropdown
 [2023-03-21 11:36:38,166] My_Account_01- Step 05: Select month from dropdown
 [2023-03-21 11:36:38,552] My_Account_01- Step 06: Select year from dropdown
 [2023-03-21 11:36:38,926] My_Account_01- Step 07: Enter to Company name textbox
 [2023-03-21 11:36:39,105] My_Account_01- Step 08: Click to save button
 [2023-03-21 11:36:39,955] My_Account_01- Step 09: Verify Female radio is checked
 [2023-03-21 11:36:40,103] My_Account_01- Step 10: Verify Firstname textbox
 [2023-03-21 11:36:40,279] My_Account_01- Step 11: Verify Lastname textbox
 [2023-03-21 11:36:40,419] My_Account_01- Step 12: Verify Company name textbox
 [2023-03-21 11:36:40,571] My_Account_01- Step 13: Verify DateOfBirth
 [2023-03-21 11:36:40,679] My_Account_01- Step 14: Verify DateOfMonth
 [2023-03-21 11:36:40,723] My_Account_01- Step 15: Verify DateOfYear
 [2023-03-21 11:36:40,773] My_Account_02- Step 01: Click to Address menu
 [2023-03-21 11:36:41,262] My_Account_02- Step 02: Click to Add new button
 [2023-03-21 11:36:41,828] My_Account_02- Step 03: Enter to Firstname textbox
 [2023-03-21 11:36:41,981] My_Account_02- Step 04: Enter to Lastname textbox
 [2023-03-21 11:36:42,109] My_Account_02- Step 05: Enter to Email textbox
 [2023-03-21 11:36:42,247] My_Account_02- Step 06: Enter to Company textbox
 [2023-03-21 11:36:42,338] My_Account_02- Step 07: Select item from Country dropdown
 [2023-03-21 11:36:42,696] My_Account_02- Step 08: Select item from State / province dropdown
 [2023-03-21 11:36:42,775] My_Account_02- Step 09: Enter to City textbox
 [2023-03-21 11:36:42,907] My_Account_02- Step 10: Enter to Address 1 textbox
 [2023-03-21 11:36:43,035] My_Account_02- Step 11: Enter to Address 2 textbox
 [2023-03-21 11:36:43,195] My_Account_02- Step 12: Enter to Zip / postal code textbox
 [2023-03-21 11:36:43,336] My_Account_02- Step 13: Enter to Phone number textbox
 [2023-03-21 11:36:43,439] My_Account_02- Step 15: Enter to fax number textbox
 [2023-03-21 11:36:43,524] My_Account_02- Step 16: Click to Save button
 [2023-03-21 11:36:44,433] My_Account_02- Step 17: Verify address added successfully
 [2023-03-21 11:36:44,559] My_Account_03 - Step 01: Navigate to Change Password link
 [2023-03-21 11:36:45,086] My_Account_03 - Step 02: Enter to Old Password textbox
 [2023-03-21 11:36:45,243] My_Account_03 - Step 03: Enter to New Password textbox
 [2023-03-21 11:36:45,372] My_Account_03 - Step 04: Enter to Confirm Password textbox
 [2023-03-21 11:36:45,465] My_Account_03 - Step 05: Click to Change Password button
 [2023-03-21 11:36:45,995] My_Account_03 - Step 06: Verify changed password successfully
 [2023-03-21 11:36:46,113] My_Account_03 - Step 07: Close changed password successfully message
 [2023-03-21 11:36:47,429] My_Account_03 - Step 08: Click to Logout link
 [2023-03-21 11:36:48,261] My_Account_03 - Step 09: Click to Login link
 [2023-03-21 11:36:48,801] My_Account_03 - Step 10: Enter to Email textbox
 [2023-03-21 11:36:48,951] My_Account_03 - Step 11: Enter to Password textbox
 [2023-03-21 11:36:49,092] My_Account_03 - Step 12: Click To Login Button
 [2023-03-21 11:36:49,623] My_Account_03 - Step 13: Verify login failed message is displayed
 [2023-03-21 11:36:49,735] My_Account_03 - Step 14: Enter to Password textbox
 [2023-03-21 11:36:49,861] My_Account_03 - Step 15: Click To Login Button
 [2023-03-21 11:36:50,844] My_Account_03 - Step 16: Verify login successfully
 [2023-03-21 11:36:50,952] My_Account_04 - Step 1: Hover To Computers
 [2023-03-21 11:36:51,157] My_Account_04 - Step 2: Click to Desktops in Computers menu
 [2023-03-21 11:36:52,587] My_Account_04 - Step 3: Click to Product
 [2023-03-21 11:36:53,821] My_Account_04 - Step 4: Click Add your review link
 [2023-03-21 11:36:54,370] My_Account_04 - Step 5: Enter to Review title textbox
 [2023-03-21 11:36:54,515] My_Account_04 - Step 6: Enter to Review text textbox
 [2023-03-21 11:36:54,684] My_Account_04 - Step 7: Click to Rating radio
 [2023-03-21 11:36:55,054] My_Account_04 - Step 8: Click to Submit button
 [2023-03-21 11:36:55,559] My_Account_04 - Step 9: Click to My Account link
 [2023-03-21 11:36:56,115] My_Account_04 - Step 10: Navigate My Product Review link
 [2023-03-21 11:36:56,595] My_Account_04 - Step 11: Verify Review Title
 [2023-03-21 11:36:56,683] My_Account_04 - Step 12: Verify Review Text
 [2023-03-21 11:36:56,745] My_Account_04 - Step 13: Verify Rating value
 [2023-03-21 11:36:56,843] OS name = windows 11
 [2023-03-21 11:36:56,843] Driver instance name = firefoxdriver: firefox on windows (c3c69465-5216-4a10-8742-e98bc891f0d4)
 [2023-03-21 12:55:29,251] Pre-Condition- Step 01: Open browser and navigate to website
